CVEGEO,Tramos criticos,Municipio
08037,35737,Juárez
02004,25022,Tijuana
12001,24165,Acapulco de Juárez
02002,23279,Mexicali
25006,22594,Culiacán
21114,22115,Puebla
11020,21477,León
08019,20639,Chihuahua
16053,20599,Morelia
15033,18902,Ecatepec de Morelos
19039,17536,Monterrey
14120,13896,Zapopan
01001,12326,Aguascalientes
15057,12272,Naucalpan de Juárez
16102,11376,Uruapan
14098,11157,San Pedro Tlaquepaque
25012,11080,Mazatlán
14039,11024,Guadalajara
23005,10759,Benito Juárez
24028,10586,San Luis Potosí
