Sexo,Tipo_Edad,Cantidad,Tipo,Edad
Hombre,Desaparecidos (Menor),3000,Desaparecidos,Menor
Mujer,Desaparecidos (Menor),4000,Desaparecidos,Menor
No definido,Desaparecidos (Menor),2000,Desaparecidos,Menor
Hombre,Desaparecidos (Mayor),2000,Desaparecidos,Mayor
Mujer,Desaparecidos (Mayor),3000,Desaparecidos,Mayor
No definido,Desaparecidos (Mayor),1000,Desaparecidos,Mayor
Hombre,Homicidios (Menor),10000,Homicidios,Menor
Mujer,Homicidios (Menor),3000,Homicidios,Menor
No definido,Homicidios (Menor),4000,Homicidios,Menor
Hombre,Homicidios (Mayor),2000,Homicidios,Mayor
Mujer,Homicidios (Mayor),1000,Homicidios,Mayor
No definido,Homicidios (Mayor),5000,Homicidios,Mayor
Hombre,Localizados (Menor),1000,Localizados,Menor
Mujer,Localizados (Menor),1500,Localizados,Menor
No definido,Localizados (Menor),5000,Localizados,Menor
Hombre,Localizados (Mayor),5000,Localizados,Mayor
Mujer,Localizados (Mayor),2300,Localizados,Mayor
No definido,Localizados (Mayor),4000,Localizados,Mayor
