Clave Entidad,Entidad,Abreviatura Entidad,Abreviatura Entidad 2,Dependencia
1,Aguascalientes,AGU,AGS,FISCALIA GENERAL DEL ESTADO DE AGUASCALIENTES
2,Baja California,BC,BCN,FISCALIA GENERAL DEL ESTADO BAJA CALIFORNIA
3,Baja California Sur,BCS,BCS,PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE BAJA CALIFORNIA SUR
4,Campeche,CAM,CAMP,FISCALIA GENERAL DEL ESTADO DE CAMPECHE
5,Coahuila,COA,COAH,FISCALIA GENERAL DEL ESTADO DE COAHUILA
6,Colima,COL,COL,FISCALIA GENERAL DEL ESTADO DE COLIMA
7,Chiapas,CHP,CHIS,FISCALIA GENERAL DE CHIAPAS
8,Chihuahua,CHH,CHIH,FISCALIA GENERAL DE CHIHUAHUA
9,Ciudad de México,CMX,CDMX,PROCURADURIA GENERAL DE JUSTICIA DE LA CIUDAD DE MEXICO
10,Durango,DUR,DGO,FISCALIA GENERAL DE DURANGO
11,Guanajuato,GTO,GTO,PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE GUANAJUATO
12,Guerrero,GRO,GRO,FISCALIA GENERAL DE GUERRERO
13,Hidalgo,HID,HGO,PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE HIDALGO
14,Jalisco,JAL,JAL,FISCALIA GENERAL DE JALISCO
15,México,MEX,EDOMEX,FISCALIA GENERAL DE ESTADO DE MEXICO
16,Michoacán,MIC,MICH,PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE MICHOACAN
17,Morelos,MOR,MOR,FISCALIA GENERAL DE MORELOS
18,Nayarit,NAY,NAY,FISCALIA GENERAL DE NAYARIT
19,Nuevo León,NLE,NL,FISCALIA GENERAL DE NUEVO LEON
20,Oaxaca,OAX,OAX,FISCALIA GENERAL DE OAXACA
21,Puebla,PUE,PUE,FISCALIA GENERAL DE PUEBLA
22,Querétaro,QUE,QRO,FISCALIA GENERAL DE QUERETARO
23,Quintana Roo,ROO,Q.ROO,FISCALIA GENERAL DE QUINTANA ROO
24,San Luis Potosí,SLP,SLP,FISCALIA GENERAL DE SAN LUIS POTOSI
25,Sinaloa,SIN,SIN,FISCALIA GENERAL DE SINALOA
26,Sonora,SON,SON,FISCALIA GENERAL DE SONORA
27,Tabasco,TAB,TAB,FISCALIA GENERAL DE TABASCO
28,Tamaulipas,TAM,TAMPS,PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS
29,Tlaxcala,TLA,TLA,
30,Veracruz,VER,VER,FISCALIA GENERAL DE VERACRUZ
31,Yucatán,YUC,YUC,FISCALIA GENERAL DE YUCATAN
32,Zacatecas,ZAC,ZAC,FISCALIA GENERAL DE ZACATECAS
33,REPUBLICA,REP,REP,FISCALIA GENERAL DE LA REPUBLICA
