variable,tipo y valores posibles,descripción
df,pandas.DataFrame,DataFrame de entrada
agregar_datos,list o None,Datos extra para agregar como barras
ordenar_por,str ('valor';'etiqueta'),Ordenar las barras de acuerdo al eje X (etiqueta) o eje Y (valor)
orden,str ('ascendente';'descendente'),Ordena las barras de forma ascendente o descendente
union_sup,int,Cantidad de barras a unir en la parte superior (primeras barras)
union_inf,int,Cantidad de barras a unir en la parte inferior (últimas barras)
nombre,str,Nombre base para archivos de salida
tipo_letra,str,Tipo de letra para todo el texto en la gráfica
ancho_fig,float o None,Ancho de la figura
alto_fig,float o None,Alto de la figura
grillas,bool,Muestra u oculta las grillas horizontales
fondo,str ('transparent';'white'),Color de fondo de la figura
ancho_barra,float,Ancho de cada barra
tam_letra_valor_barra,int,Tamaño de letra para valores dentro de las barras
weight_valor_barra,str ('bold';'normal'),Grosor de letra para valores dentro de las barras
color_valor_barra,str o None,Color del texto de valor en barra
tam_letra_porce_barra,int,Tamaño de letra para porcentajes dentro de las barras
weight_porce_barra,str ('bold';'normal'),Grosor de letra para porcentajes dentro de las barras
color_porce_barra,str o None,Color de letra para porcentajes dentro de las barras
paleta_colores,list o None,Lista de colores para las barras
valor_barra,bool,Mostrar valor numérico en la barra
porce_barra,bool,Mostrar porcentaje en la barra
porce_al_lado,bool,Mostrar porcentaje al lado del valor dentro de la barra
porce_diver,bool,Porcentaje respecto a suma absoluta (divergente)
alinea_texto_barra,bool,Alinear el texto dentro de la barra horizontalmente
valor_capsu,bool,Muestra u oculta la cápsula arriba de la barra
tam_letra_valor_capsu,int,Tamaño de letra para valores dentro de las cápsulas
weight_valor_capsu,str ('bold';'normal'),Grosor de letra para valores dentro de las cápsulas
color_valor_capsu,str,Color de letra para valores dentro de las cápsulas
color_borde_capsu,str,Color del borde de la cápsula
weight_borde_capsu,float,Grosor del borde de la cápsula
quitar_capsu,bool,Quitar la cápsula y deja solo el valor dentro de la ella
capsu_cero,bool,Mostrar cápsula aunque el valor sea cero
asignar_etiquetas,str o None,Columna del dataframe df con las nuevas etiquetas que sustituiran las que se encuentran en la parte superior de las barras
alinea_capsu,bool,Alinear la cápsula verticalmente ( en la misma dirección de las barras)
ajusta_pos_capsu,float,Ajusta la posición de la cápsula respecto a la barra
decimales_valor_capsu,int,Número de decimales para el valor en la cápsula
area_min,float,Área mínima para mostrar texto en barra
ancho_min,float,Ancho mínimo para mostrar texto dentro de barra
porce_total,bool,Muestra el valor del porcentaje respecto al total general arriba de la capsula
porce_total_inicio,bool,Lo muestra al inicio de la barra en lugar de arriba de la cápsula
separar_por_total,float,Ajusta la posicion del porcentaje total
tam_porce_total,int,Tamaño de letra para porcentaje total
weight_porce_total,str ('semibold';'normal'),Grosor de letra para porcentaje total
color_porce_total,str,Color de letra para porcentaje total
leyenda,str o None,Título de la leyenda
pos_leyenda,str ('arriba';'abajo'),Posición de la leyenda
aumenta_sep_leyenda,float,Espacio extra para la leyenda
ncol_leyenda,int o None,Número de columnas en la leyenda
tam_letra_leyenda,int,Tamaño de letra para la leyenda
weight_letra_leyenda,str ('medium';'normal'),Grosor de letra para la leyenda
color_letra_leyenda,str,Color de letra para la leyenda
tam_letra_ejeY,int,Tamaño de letra para etiquetas eje Y
weight_letra_ejeY,str ('medium';'normal'),Grosor de letra para etiquetas eje Y
color_letra_ejeY,str,Color de letra para etiquetas eje Y
espacio_inicio,int,Espacio extra al inicio del eje Y
nombre_eje_y,str o None,Nombre del eje Y
tam_letra_nombre_eje_y,int,Tamaño de letra para nombre del eje Y
weight_letra_nombre_eje_y,str ('medium';'normal'),Grosor de letra para nombre del eje Y
color_letra_nombre_eje_y,str,Color de letra para nombre del eje Y
sustituir_etiquetas,list o None,Lista para sustituir etiquetas del eje Y
orientacion_etiqu_ejeY,str ('vertical';None),Orientación de etiquetas eje Y
aumenta_sep_eje_y,float,Aumenta separación en eje Y
resaltar_etiquetas,list o None,Lista de etiquetas a resaltar
color_resalt_etique,str,Color para el resaltado de etiquetas
color_borde_resalt,str,Color del borde de resaltado de etiquetas
ejeY_der,bool,Colocar el eje Y a la derecha
tam_letra_ejeX,int,Tamaño de letra para etiquetas eje X
weight_letra_ejeX,str ('medium';'normal'),Grosor de letra para etiquetas eje X
color_letra_ejeX,str,Color de letra para etiquetas eje X
nombre_eje_x,str o None,Nombre del eje X
tam_letra_nombre_eje_x,int,Tamaño de letra para nombre del eje X
weight_letra_nombre_eje_x,str ('medium';'normal'),Grosor de letra para nombre del eje X
color_letra_nombre_eje_x,str,Color de letra para nombre del eje X
x_limits,list o None,Límites del eje X
ejeX_positivo,bool,Eje X solo muestra valores positivos
div_ejeX,int o False,División personalizada del eje X
graf_resp_porce,bool,Graficar con respecto al porcentaje en el eje X
columnas_lineas,list o None,Lista de nombres de columnas que serán graficadas como líneas verticales
paleta_colores_lineas,list o None,Lista de colores para las líneas
capsu_fin_lineas,bool,Mostrar cápsula con el valor al final de cada
